fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.9,0.26,0.33,12.6,0.051,59,173,0.998,3.39,0.38,9.9,5
7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6
6.8,0.15,0.32,8.8,0.058,24,110,0.9972,3.4,0.4,8.8,6
9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7
8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,6
8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,6
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
6,0.28,0.22,12.15,0.048,42,163,0.9957,3.2,0.46,10.1,5
9.3,0.49,0.36,1.7,0.081,3,14,0.99702,3.27,0.78,10.9,6
6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,5
9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,7
8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,6
5.6,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5
6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,7
7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7
7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,8
8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6
6.1,0.22,0.31,1.4,0.039,40,129,0.99193,3.45,0.59,10.9,5
6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7
6.4,0.15,0.31,1.1,0.044,25,96,0.9932,3.54,0.51,10.3,6
9.2,0.71,0.23,6.2,0.042,15,93,0.9948,2.89,0.34,10.1,6
7.2,0.14,0.32,1.1,0.022,48,116,0.99218,3.04,0.67,10,6
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5
8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,5
7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,6
6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5
6.7,0.24,0.26,5.4,0.03,15,94,0.99045,3.15,0.38,12.7,6
6.4,0.23,0.32,1.9,0.038,40,118,0.99074,3.32,0.53,11.8,7
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7
5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,6
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
5.9,0.44,0.36,2.5,0.03,12,73,0.99201,3.22,0.48,10.8,6
6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7
6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5
6.6,0.23,0.32,1.5,0.041,8,72,0.98949,3.22,0.39,12.7,6
5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,5
8.3,0.28,0.45,7.8,0.059,32,139,0.9972,3.33,0.77,11.2,6
6.1,0.41,0.2,12.6,0.032,54,136,0.99516,2.91,0.43,10.6,6
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,7
6.1,0.41,0.24,1.6,0.049,16,137,0.993,3.32,0.5,10.4,6
7.7,0.42,0.31,9.2,0.048,22,221,0.9969,3.06,0.61,9.2,6
7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,5
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,7
4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,5
7.1,0.28,0.31,1.5,0.053,20,98,0.99069,3.15,0.5,11.4,5
6.1,0.26,0.28,1.7,0.043,24,98,0.98918,3.14,0.44,12.5,6
6.7,0.46,0.27,5.2,0.039,35,96,0.99129,3.16,0.44,12.4,7
6.6,0.16,0.3,1.6,0.034,15,78,0.992,3.38,0.44,11.2,6
8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,6
6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6
6.9,0.24,0.36,20.8,0.031,40,139,0.9975,3.2,0.33,11,6
6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4,5
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5
9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,4
6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6
7.4,0.21,0.27,7.3,0.031,41,144,0.9932,3.15,0.38,11.8,7
6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7
7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,6
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6
8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7
10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5
7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,6
11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5
6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6
9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,5
7,0.24,0.25,1.7,0.042,48,189,0.992,3.25,0.42,11.4,6
7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6
5.9,0.22,0.45,22.6,0.12,55,122,0.99636,3.1,0.35,12.8,5
7.6,0.31,0.26,1.7,0.073,40,157,0.9938,3.1,0.46,9.8,5
7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,6
6.6,0.23,0.37,8.5,0.036,46,153,0.99576,3.2,0.48,9.4,6
7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,5
6.9,0.28,0.31,7.2,0.04,47,168,0.9946,3.29,0.57,10.6,7
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,8
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6
6.3,0.34,0.27,2.5,0.024,40,152,0.99095,3.35,0.6,11.9,7
7.1,0.22,0.33,2.8,0.033,48,153,0.9899,3.15,0.38,12.7,7
6.2,0.2,0.31,1,0.031,22,73,0.99035,3.24,0.52,11.3,6
7.7,0.16,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,6
8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,5
6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10,4
6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,6
6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1,6
7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,6
4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5
6.7,0.2,0.41,9.1,0.044,50,166,0.9954,3.14,0.58,9.8,6
6,0.27,0.31,5,0.043,54,170,0.9924,3.28,0.52,11,6
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,6
5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
6.1,0.31,0.37,8.4,0.031,70,170,0.9934,3.42,0.4,11.7,8
6.6,0.24,0.38,12.75,0.034,8,74,0.99386,3.1,0.57,12.9,6
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5
6.3,0.3,0.29,2.1,0.048,33,142,0.98956,3.22,0.46,12.9,7
7.8,0.21,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6,8
7.2,0.2,0.31,10,0.054,49,165,0.997,3.4,0.42,9.9,6
6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13,6
7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,6
6.3,0.41,0.33,4.7,0.023,28,110,0.991,3.3,0.38,12.5,7
7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,6
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7
7.7,0.28,0.29,6.9,0.041,29,163,0.9952,3.44,0.6,10.5,6
7.3,0.28,0.35,1.6,0.054,31,148,0.99178,3.18,0.47,10.7,5
7.8,0.29,0.22,9.5,0.056,44,213,0.99715,3.08,0.61,9.3,6
8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6
7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2,4
6.3,0.36,0.2,2,0.048,48,191,0.9929,3.17,0.51,9.6,5
5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,6
6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5
6.8,0.17,0.17,5.1,0.049,26,82,0.993,3,0.38,9.8,6
9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,6
8.2,0.26,0.33,2.6,0.053,11,71,0.99402,2.89,0.49,9.5,5
7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6
7.8,0.21,0.49,1.2,0.036,20,99,0.99,3.05,0.28,12.1,7
6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4
7.6,0.23,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2,4
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1,6
6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6
7.6,0.32,0.25,9.5,0.03,15,136,0.99367,3.1,0.44,12.1,6
6.1,0.28,0.26,1.5,0.03,25,101,0.98894,3.03,0.41,12.1,6
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,6
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5
12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,5
6.7,0.3,0.35,1.4,0.18,36,160,0.9937,3.11,0.54,9.4,6
6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,6
8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,4
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,6
7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,6
6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7
6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5
6.6,0.29,0.39,6.75,0.031,22,98,0.9913,3.15,0.8,12.9,7
11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,6
6.4,0.68,0.26,3.4,0.069,25,146,0.99347,3.18,0.4,9.3,5
6.1,0.34,0.24,18.35,0.05,33,184,0.99943,3.12,0.61,9.3,5
10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,5
6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5
11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7
6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5
7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5
7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,8
8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,6
8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,5
7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,6
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,6
6,0.2,0.26,1.1,0.033,38,67,0.98954,3.14,0.38,11.5,6
7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,6
7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,6
6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
